Variable Name,Units,Definition,Type,Comments,Possible Scenario Grouping
AHC.discount_factor_1,years,"Calculates discount factor for doing NPV calculation for portion of commercial project lifetime up to end of depreciation period OR end of loan term, whichever is SMALLER.",Array | Internal Calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
AHC.discount_factor_2,years,"Calculates discount factor for doing NPV calculation for portion of commercial project lifetime up to end of depreciation period OR end of loan term, whichever is LARGER.",Array | Internal Calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
AHC.discount_factor_DC,years,"Calculates discount factor for doing NPV calculation for the period of design, construction, startup, for commercial plants",Array | Internal Calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
AHC.discount_factor_loan,years,Calculates discount factor for doing NPV calculation for loan term for commercial facilities,Array | Internal Calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
AHC.discount_factor_Loan_Payment,years,Calculates discount factor for calculating loan repayment amount (principal + interest) for commercial-scale project,Array | Internal Calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
AHC.distn_new_facilities,Unitless,"Distributes plant start logic regionally, based on relative attractiveness as modified by regional concentration weighting factor that depends on industry maturity.",Array | Internal Calculation,"this calculation is not used in this module, as the module is not segmented by region",
AHC.Doubling,doubling,Always a value of 1 to capture one doubling,Scalar | Constant,used to calculate doublings for learning curve logic,
AHC.doubling_factor,1/doubling,Scaling factor that translates growth rate into doubling time or doubling rate,scalar | Internal Calculation,essentially a constant but expressed as a calculation to enable unit consistency,
AHC.Early_Pilot_Multipliers,Unitless,Estimate of the fraction of each technology attributes is realizable at the initial stage of pilot effort,Array | Techno-economic Input,Default values determined through focus group expert opinion,Required RoR
AHC.Early_Pilot_Multipliers_FS,Unitless,Estimate of the fraction of feedstock cost attributes is realized at the initial stage of pilot effort,scalar | Techno-economic Input,Default values determined through focus group expert opinion,Required RoR
AHC.endogenous_plant_planning,Projects per Year,Logic that drives endogenously-determined continuous pressure to invest in facilities into the system,Array | Internal Calculation,,
AHC.Equity_Fraction,Unitless,"Calculates fraction of &quot;next&quot; facility fixed capital investment is financed by equity (vs debt), after applying available loan guarantees",Array | Internal Calculation,,
AHC.est_depreciation_exp_USD_per_gal,USD per gallon,Calculates depreciation expense for the &quot;next&quot; facility on a per gallon basis,Array | Internal Calculation,,
AHC.est_depreciation_expense,US dollars per year,Calculates depreciation expense for the &quot;next&quot; facility,Array | Internal Calculation | Sector Interface,,
AHC.exp_net_op_cost_USD_per_gal,USD per gallon,Calculates net operating cost for the &quot;next&quot; facility on a per gallon basis,Array | Internal Calculation,,
AHC.exp_net_op_cost_USD_per_yr,US dollars per year,"Calculates expected operating cost, net of power and coproduct sales, for the &quot;next&quot; facility",Array | Internal Calculation,,
AHC.Exp_Other_Coproduct_Sales_Rev,US dollars per year,Expected Other Coproduct Sales Revenues,Array | Constant | Techno-economic Input,value is for a &quot;standard&quot; mature industry commercial scale,Technoeconomics
AHC.Exp_Power_Sales_Rev,US dollars per year,Expected power sales revenues from next commercial-scale facility,Array | Constant | Techno-economic Input,value is for a &quot;standard&quot; mature industry commercial scale,Technoeconomics
AHC.Exp_Revs_Net_of_Op_Cost,US dollars per year,Calculates expected revenues net of  expected operating cost for &quot;next&quot; commercial plant,Array | Internal Calculation,,
AHC.Exp_Sales_Rev,US dollars per year,Calculates expected fuel sales revenue for &quot;next&quot; commercial facility,Array | Internal Calculation,,
AHC.Expected_Equity_Fraction,Unitless,"Calculates fraction of fixed capital investment for &quot;next&quot; commercial facility to be funded through equity financing, accounting for current industry maturity but before application of loan guarantees",Array | Internal Calculation,,
AHC.Expected_FCI,US Dollars,Calculates expected fixed capital investment (FCI) for next commercial-scale facility including cost growth associated with immature industry but before FCI subsidy,Array | Internal Calculation | Sector Interface,,
AHC.Expected_FCI_after_Subs,US Dollars,Calculates expected fixed capital investment (FCI) for next commercial-scale facility after FCI subsidy has been applied,Array | Internal Calculation,,
AHC.Expected_Feedstock_Cost,USD per ton,Calculates expected feedstock cost including any preprocessing costs,Array | Internal Calculation,,
AHC.Expected_Fixed_Op_Cost,US dollars per year,Expected fixed operating cost for mature industry facilities,Array | Constant | Techno-economic Input,value is for a &quot;standard&quot; mature industry commercial scale facility,Technoeconomics
AHC.Expected_FS_cost_after_Subs,USD per ton,Calculates expected feedstock cost after applying feedstock subsidies,Array | Internal Calculation | Sector Interface,,
AHC.Expected_FS_Prodn_Cost_USD_per_ton,USD per ton,Calculates expected feedstock costs on a per-ton basis,Array | Internal Calculation | Sector Interface,there are a few intermediate calculations between this variable and feedstock cost inputs to investment and expected FS cost after subsidy.  These intermediate variables are in place to keep this model&apos;s structure in parallel as much as possible with other modules.,
AHC.Expected_FS_Prodn_Cost_USD_per_yr,US dollars per year,"Calculates expected facility feedstock cost , based on maturity of the industry",Array | Internal Calculation,this calculation is unique to algae module.  Other feedstock costs are calculated as part of feedstock supply modules,
AHC.Expected_Op_Cost,US dollars per year,Calculates expected annual operating cost for &quot;next&quot; commercial facility,Array | Internal Calculation | Sector Interface,,
AHC.Expected_Other_VBL_Op_Cost,US dollars per year,"Expected other (i.e., non feedstock related) operating cost for mature industry facilities",Array | constant | Techno-economic Input,,Technoeconomics
AHC.Expected_Plant_Output,gallons per year,"Calculates output of &quot;next&quot; commercial facility, expressed in gallons per year",Array | Internal Calculation,,
AHC.Expected_Plant_Output_Gal_Day_C,GPD,Calculates output of &quot;next&quot; commercial facility by applying process yield to feedstock throughput,Array | Internal Calculation,,
AHC.Expected_Price_after_Subs,USD per gallon,"Calculates expected per-gallon price of conversion product, after incentives and credits",Array | Internal Calculation | Sector Interface | Module Interface,,
AHC.Expected_Regional_Cellulosic_FS_cost_USD_per_ton,USD per ton,Calculated value for regional feedstock cost,Array | Internal Calculation,there are a few intermediate calculations between this variable and feedstock cost inputs to investment and expected FS cost after subsidy.  These intermediate variables are in place to keep this model&apos;s structure in parallel as much as possible with other modules.,
AHC.Expected_Tax_1,US dollars per year,Calculates expected taxes during portion of plant life beginning when plant is operational and ending at end of loan term or depreciation period--whichever is smaller.,Array | Internal Calculation,,
AHC.Expected_Tax_2,US dollars per year,Calculates expected taxes during portion of plant life between end of depreciation period and end of loan term,Array | Internal Calculation,,
AHC.Expected_Tax_3,US dollars per year,Calculates expected taxes during portion of plant lifetime after loan term AND depreciation period,Array | Internal Calculation,,
AHC.Expected_Tax_Rate,Unitless,Expected tax rate associated with income from facilities,scalar | Constant | Scenario Input,,
AHC.Expected_Taxable_Income_1,US dollars per year,Calculates expected taxable income during portion of plant life when both depreciation period and loan term are in effect.,Array | Internal Calculation,,
AHC.Expected_Taxable_Income_2,US dollars per year,Calculates expected taxable income during portion of plant life between end of depreciation period and end of loan term.,Array | Internal Calculation,,
AHC.Expected_Taxable_Income_3,US dollars per year,Calculates expected taxable income during portion of plant lifetime after loan term AND depreciation period,Array | Internal Calculation,,
AHC.FCI_after_USD_per_gal,USD per gallon,Calculates annual loan payment for &quot;next&quot; facility on a per-gallon of capacity basis,Array | Internal Calculation,variable is mis-named.  Should be Loan Payment USD per gal,
AHC.FCI_scale_factor,Unitless,Exponent for scale factor for fixed capital investment (FCI),Array | constant | Techno-economic Input,,
AHC.FCI_subs_by_pathway_and_region,US dollars per year,Calculates total annual flow of fixed capital investment (FCI) subsidy per year,Array | Internal Calculation,,
AHC.FCI_Subs_Logic,US Dollars,"Calculates per-facility commercial scale fixed capital investment subsidies.  Logic is controlled by switch, time constraints, and subsidy amount",Array | Internal Calculation | Sector Interface,,
AHC.Feedstock_Constraint_on_Utilization,Unitless,Calculates constraint imposed by feedstock availability on conversion capacity utilization,Array | Internal Calculation | Sector Interface | Module Interface,,
AHC.Feedstock_Cost_USD_per_gal,USD per gallon,"Calculates feedstock cost in USD per gallon, accounting for process yield",Array | Internal Calculation,,
AHC.feedstock_effectiveness_multiplier,Unitless,not required for algae module,Array | Unused Constant,constant is left in model to be consistent with other modules,
AHC.feedstock_fractions,Unitless,not required for algae module,Array | Unused Constant,constant is left in model to be consistent with other modules,
AHC.Feedstock_Thruput_Incremental_Scale_Factor,Unitless,calculates incremental scale factor for &quot;next&quot; plant capacity based on maturity and scenario inputs,Array | Internal Calculation,,
AHC.fixed_cost_USD_per_gal,USD per gallon,calculates fixed cost base of &quot;next&quot; facility in USD per gallon,Array | Internal Calculation,,
AHC.FLM_C_to_PreProcess_Cost,USD per ton,not required for algae module,Array | Unused Constant,in other modules this is a module interface,
AHC.FLM_frac_supply_system_advanced,Unitless,set to 1 for algae module. Used to determine industry scale factor,Array | Constant,assumed value of 1 depicts neutral impact on scale factor,
AHC.frac_contracted_capacity,Unitless,Calculates fraction of output capacity is allocated to production under guaranteed offtake contract,Array | Internal Calculation,,
AHC.Frac_Plant_Debt_Financed,Unitless,Calculates fraction of &quot;next&quot; facility fixed capital investment (FCI) subject to debt financing,Array | Internal Calculation,,
AHC.frac_rate_of_growth_in_industry_output,per year,"Calculates the rate of growth in industry output, by technology pathway",Array | Internal Calculation,,
AHC.frac_rate_of_growth_PC_experience,per year,"Calculates the rate of growth in pre commercial (PC) experience, by technology pathway",Array | Internal Calculation,,
AHC.frac_rate_of_growth_pilot_experience,per year,"Calculates the rate of growth in pilot-scale experience, by technology pathway",Array | Internal Calculation,,
AHC.fraction_of_Commercial_cost_growth_anticipated,Unitless,Assumed value for investor estimate of the portion of capital cost growth that is anticipated in net present value calculations,scalar | Constant | Scenario Input,,
AHC.fs_constraint_by_fs_type,Unitless,Constraint calculated as linear function of actual feedstock consumption relative to feedstock demand.,Array | Internal Calculation,"for algae, constraint never comes into play as feedstock is assumed to be produced on site",
AHC.fs_demand_at_nominal_utilization,million-ton/yr,Calculates feedstock demand from conversion pathways,Array | Internal Calculation | Sector Interface | Module Interface,module interface is not used for Algae,
AHC.fs_demand_incl_pipeline,million-ton/yr,Calculates the feedstock flux required required to support both current and in development production capacity,Array | Module Interface,,
AHC.FS_Subs_Logic,USD per ton,"Logic that controls feedstock subsidy accruing to fuel producers.  Logic controlled by switch, time constraints, and subsidy amount",Array | Sector Interface,,
AHC.FS_thruput_cap_influx,projects-ton/(day-yr),"Samples state of the industry thruput capacity, applying it to influx of commercial scale plants entering design and construction.  Resultant downstream structure used to track for commercial-scale plants.",Array | Internal Calculation,,
AHC.FS_thruput_Cap_Ratio,Unitless,"Calculates ratio of &quot;next&quot; facility thruput capacity (i.e., scale) relative to standardized thruput capacity given by techno-economic input scenario.  Used to calculate economy of scale inputs",Array | Internal Calculation,,
AHC.FS_Thruput_Cap_Retirements,projects-ton/(day-yr),"Calculates outflux from system of thruput capacity, associated with retirement of on-line facilities",Array | Internal Calculation,,
AHC.FS_Thruput_Cap_to_Startup_C,projects-ton/(day-yr),Calculates flux of thruput capacity associated with new facilities coming on line,Array | Internal Calculation,,
AHC.IBR_PC_experience,hr/yr,Scenario depicting annual IBR experience at pre commercial level,Array | Graphical function | Scenario Input,,Program Scenarios
AHC.IBR_Pilot_experience,hr/yr,Scenario depicting annual IBR experience at pilot level,Array | Graphical function | Scenario Input,,Program Scenarios
AHC.Impact_of_regional_industry_development_on_scale_factor,Unitless,Behavioral assumption reflecting relationship between development of supply system and constraint scale effects,Array | Graphical function,"neutralized in Algae module, as feedstocks are assumed to be produced on site",
AHC.In_Design_and_Cons,Projects,Conveyor that tracks full  scale operations in design and construction stages,Array | Internal Calculation,,
AHC.increase_in_PY_commercial_industry,gal-projects/(ton-yr),Captures spillover from learning curve dynamics around process yield  into existing full  commercial scale operations,Array | Internal Calculation,,
AHC.incremental_scale_factor_from_industry_maturity,Unitless,Assumed relationship between commercial maturity and degree of scale-up for &quot;next&quot; facility,Array | Graphical function,Graphical function should range between 0 and 1,
AHC.incremental_scale_up_level,Unitless,Expresses maximum additional scale (relative to standardized thruput capacity given by techno-economic input scenario). Scale-up level of 1 implies maximum scale of 2x value given by techno-economics,scalar | Constant | Scenario Input | Techno-economic input,,Feedstock Logistics Maturity
AHC.industry_FS_thruput_tpy,ton per year,Calculates total annual industry feedstock consumption,Array | Internal Calculation,,
AHC.Industry_Process_Yield_Gap,gal per ton,Captures difference between current state of industry process yield and average process yield as reflected in current industry.,Array | Internal Calculation,,
AHC.Initial_Equity_Investment,US Dollars,Amount of total commercial project Fixed Capital Investment to be financed through equity funding,Array | Internal Calculation,,
AHC.Initial_Indices_of_Commercial_Maturity,Unitless,Estimated initial value for commercial maturity,Array | constant | Techno-economic input,,Conversion Pathway Maturity
AHC.Initial_Indices_of_PC_Maturity,Unitless,Estimated initial value for pre commercial maturity,Array | constant | Techno-economic input,,Conversion Pathway Maturity
AHC.Initial_Indices_of_Pilot_Maturity,Unitless,Estimated initial value for pilot maturity,Array | constant | Techno-economic input,,Conversion Pathway Maturity
AHC.initiating,Projects per Year,Pulses out integer value from plant start accumulator whenever value in accumulator is &gt;=1,Array | Internal Calculation,,
AHC.initiating_PC_development,Projects per Year,"Pulses integer value of pre commercial projects into development each year, based on technology switch settings and start scenario",Array | Internal Calculation,,
AHC.initiating_Pilot_development,Projects per Year,"Pulses integer value of pilot projects into development each year, based on technology switch settings and start scenario",Array | Internal Calculation,,
AHC.invest_attractiveness_weighting,Gallons/(US Dollars*Years),module interface to RA.invest attractiveness weighting,scalar | module interface,,
AHC.k,Unitless,Assumed non-$-based utility component ofattractiveness of commercial scale operations,scalar | Constant | assumed value,,
AHC.L_Commercial,Unitless,Natural log of attractiveness of commercial scale plants,Array | Internal Calculation,,
AHC.L_G_exposure_by_pathway_and_region,US dollars per year,Calculates annual loan guarantee expsure for new commercial scale operations,Array | Internal Calculation,region not represented for algal pathways,
AHC.lambda,Unitless,Parameter used in nested logit calculation,scalar | Constant | assumed value,,
AHC.learning_logic,per year,Calculates influx to commercial maturity based on maturity gap and progress ratio,Array | Internal Calculation,,
AHC.length_of_period_1,years,"Calculates portion of project lifetime up to end of depreciation period OR end of loan term, whichever is SMALLER.",Array | Internal Calculation,,
AHC.length_of_period_2,years,"Calculates portion of project lifetime up to end of depreciation period OR end of loan term, whichever is LARGER.",Array | Internal Calculation,,
AHC.Loan_Guarantee_Logic,Unitless,"Calculates the fraction of expected full commercial scale fixed capital investment (after any FCI subsidy) that is subject to loan guarantees.  Logic is controlled by switch, time constraints, and subsity amount.  Resultant value is used to define the equity portion of the FCI investment.",Array | Internal Calculation |Sector Interface,,
AHC.Loan_Principal,US Dollars,Calculates the portion of fixed capital investment (FCI) for the &quot;next&quot; project that can be financed as loan,Array | Internal Calculation,,
AHC.logging_PC_experience,hr/yr,Calculates the influx of pilot scale experience,Array | Internal Calculation,,
AHC.logging_pilot_experience,hr/yr,Calculates the influx of pre commercial experience,Array | Internal Calculation,,
AHC.Mature_Commercial_Multipliers,Unitless,"Values of 1 reflect concept that when industry is fully mature, investers will encounter mature industry values for technology attributes.",Array |Constant | Techno Economic Input,,
AHC.Mature_Commercial_Multipliers_FS,Unitless,Tells what fraction of feedstock cost attribute is realized at mature commercial stage,scalar |constant | Techno Economic Input,,
AHC.Mature_FS_Thruput_Capacity,ton per day,"Estimated mature commercial feedstock throughput, measured at &quot;throat of reactor&quot;",Array |Techno Economic Input,,
AHC.Mature_Industry_Equity_Fraction,Unitless,Expected fraction of Investment to be funded through equity financing for commercial plants for mature industry,scalar |Constant | Techno Economic Input,,
AHC.Mature_Industry_FCI,US Dollars,Estimated mature industry facility fixed capital investment (FCI),Array | Constant | Techno Economic Input,,Technoeconomics
AHC.Mature_Industry_Feedstock_Prodn_Cost,US dollars per year,Estimated feedstock cost associated with mature industry facility,scalar |Constant | Techno Economic Input,"unique to Algae module. For other modules, feedstock cost determined in feedstock modules",
AHC.Mature_Industry_P_Success,Unitless,Sets likelihood of technically successful plant for completely mature industry,Array | Constant | Techno Economic Input,provides indicator value for risk of investment.  Not otherwise used in model,
AHC.Mature_Industry_Process_Yield,gal per ton,Estimated mature industry process yield in gallons of output per ton of input,Array | Constant | Techno Economic Input,,Technoeconomics
AHC.Mature_Industry_Rate_of_Return_as_PCT,percent/yr,Project rate of return required for mature industry project,scalar | constant |Techno Economic Input,,Required RoR
AHC.Mature_PC_Multipliers,Unitless,Assumed value indicates the fraction of feedstock cost is realized at the fully mature stage of demo effort,Array |Constant | Techno Economic Input,,Required RoR
AHC.Mature_PC_Multipliers_FS,Unitless,Assumed value indicates the fraction of different technology attributes that is realized at the fully mature stage of demo effort,scalar | Constant |Techno Economic Input,,Required RoR
AHC.Mature_Pilot_Multipliers,Unitless,Assumed value indicates the fraction of feedstock cost attribute that is realized at the fully mature stage of pilot effort,Array |Constant | Techno Economic Input,,Required RoR
AHC.Mature_Pilot_Multipliers_FS,Unitless,Assumed value indicates the fraction of different technology attributes that is realized at the fully mature stage of pilot effort,scalar | Constant |Techno Economic Input,,Required RoR
AHC.maturing_industry_scale_factor,Unitless,"Calculates scale factor for thruput capacity as industry matures.  As weight factor moves from 0 to 1, this equation reutrns a value between the pioneer capacity scale factor and 1, which is then is applied to mature thruput capactity to determine the next plant&apos;s capacity.",Array | Internal Calculation,,
AHC.maturity_weight_factor,Unitless,"Assumed relationship between commercial maturity and weighting factor for pioneer capacity vs mature capacity for facilities.  As commercial maturity increases from 0 to 0.75, weighting factor moves from 0 to 1.  value of 0 implies pioneer scale; value of 1 implies scale factor of 1, consistent with mature industry thruput capacity.",Array | Graphical function,Graphical function should range between 0 and 1,
AHC.MFSP_fixed_cost_per_gal,USD per gallon,Calculates fixed cost per gallon component of minimum fuel selling price,Array | Internal Calculation,,
AHC.MFSP_fs_cost_per_gal,USD per gallon,Calculates feedstock cost per gallon component of minimum fuel selling price,Array | Internal Calculation,not required for MFSP as feedstock costs are accounted for n op cost calculation,
AHC.MFSP_op_cost_per_gal,USD per gallon,Calculates operating cost per gallon component of minimum fuel selling price,Array | Internal Calculation,,
AHC.MFSP_USD_per_gal,USD per gallon,Calculates  minimum fuel selling price for &quot;next&quot; facility,Array | Internal Calculation,,
AHC.Min_Cume_Industry_Output_For_Learning,billions-gal,"Sets threshold before calculating rate of growth in industry output, and hence, learning.",Array | Constant |  assumed value,,
AHC.Min_PC_Experience_for_Learning,hours,"Sets threshold before calculating rate of growth in demo experience, and hence, learning.",Array | Constant | assumed value,,
AHC.Min_Pilot_Experience_for_Learning,hours,"Sets threshold before calculating rate of growth in pilot experience, and hence, learning.",Array | Constant | assumed value,,
AHC.NextPlant_Expected_FCI,US Dollars,Calculates fixed capital investment (FCI) associated with investment in &quot;next&quot; facility,Array | Internal Calculation | Sector Interface,,
AHC.NextPlant_Expected_Fixed_Op_Cost,US dollars per year,Calculates expected fixed operating cost associated with investment in &quot;next&quot; facility,Array | Internal Calculation | Sector Interface,,
AHC.NextPlant_Expected_Other_VBL_Op_Cost,US dollars per year,Calculates other variable operating costs associated with investment in &quot;next&quot; facility,Array | Internal Calculation | Sector Interface,,
AHC.NextPlant_Expected_Power_Sales_Rev,US dollars per year,Calculates expected power sales revenues with investment in &quot;next&quot; facility,Array | Internal Calculation | Sector Interface,,
AHC.NextPlant_FS_Thruput_Cap,ton per day,Calculates thruput capacity associated with investment in &quot;next&quot; facility,Array | Internal Calculation | Sector Interface,,
AHC.NextPlant_ORNOVOC,US dollars per year,"Calculates other revenue (coproduct, power) net of variable operating cost, associated with investment in &quot;next&quot; facility",Array | Internal Calculation | Sector Interface,,
AHC.NextPlant_Other_Coproduct_Sales_Rev,US dollars per year,Calculates  coproduct revenue  associated with investment in &quot;next&quot; facility,Array | Internal Calculation | Sector Interface,,
AHC.nominal_Attr,Unitless,attractiveness of investment in full commercial scale plants by technology  based on economic considerations alone,Array | Internal Calculation,"part of nested logit calculation for allocation of investment to different pathways, regions",
AHC.Nominal_Plant_Utilization_Factors,Unitless,Assumed relationship between cost:price ratio and aggregate facility utilization.,Array | Graphical function,values returned by graphical function should go from 0 to 1.,
AHC.nominal_regional_distn_new_facilities,Unitless,"Calculates relative attractiveness of different commercial scale conversion options, by region.",Array | Sector Interface,regions are not present in algae model.  This structure in place to be parallel with other conversion modules,
AHC.NPV_Investment,US Dollars,Calculates the net present value of the &quot;next&quot; investment in facilities,Array | Internal Calculation,,
AHC.NPV_rel_to_a_million,US Dollars*Years/Gallons,"Scales NPV of commercial scale project by normalizing by expected next plant output, which is expressed in million gallons per year. The calculation gives a measure of the net present value of the investment relative to expected annual production.",Array | Internal Calculation,,
